Date,Open,High,Low,Close,Adj Close,Volume
7/16/2018,107.050003,110.769997,106.980003,110.580002,95.054199,24662600
7/17/2018,110.690002,110.93,109.75,110.5,94.985405,14821900
7/18/2018,110.419998,112.120003,110.199997,111.529999,95.870789,14244900
7/19/2018,111.059998,111.089996,109.730003,109.889999,94.461067,16775300
7/20/2018,110,111.739998,109.779999,111.279999,95.655907,13578100
7/23/2018,111.059998,114.239998,110.93,113.349998,97.435249,18140000
7/24/2018,113.550003,114.779999,113.419998,114.150002,98.122948,14000400
7/25/2018,113.879997,115.519997,113.379997,115.18,99.008324,13329100
7/26/2018,115.419998,115.589996,114.580002,114.849998,98.724655,11897800
7/27/2018,115.18,116.300003,114.809998,116.029999,99.738976,12802700
7/30/2018,116.279999,117.610001,116.059998,116.730003,100.340698,13411600
7/31/2018,117.080002,117.080002,114.82,114.949997,98.810608,15843800
8/1/2018,115.75,116.690002,115.279999,115.660004,99.420921,13531600
8/2/2018,114.57,116.25,114.330002,116.150002,99.842148,11058100
8/3/2018,116,117.129997,115.940002,117.089996,100.650146,11016100
8/6/2018,116.790001,117.529999,116.18,117.120003,100.675949,9857400
8/7/2018,117.739998,118.290001,117.330002,117.550003,101.04557,10562100
8/8/2018,117.330002,118.269997,117.279999,117.790001,101.251884,8997100
8/9/2018,117.510002,117.720001,116.699997,116.879997,100.469643,9694200
8/10/2018,115.5,115.949997,114.68,115.730003,99.48111,12630600
8/13/2018,115.559998,115.879997,113.82,113.889999,97.899445,10336300
8/14/2018,114.269997,115.040001,113.650002,114.650002,98.552742,10597600
8/15/2018,113.82,114.330002,112.970001,113.699997,97.736107,10152100
8/16/2018,114.349998,115.309998,114.300003,114.769997,98.655891,10118600
8/17/2018,114.639999,115.07,114.300003,114.769997,98.655891,8505100
8/20/2018,114.589996,115.050003,114.110001,114.620003,98.526962,8618700
8/21/2018,115.370003,116.389999,114.879997,115.32,99.12867,10976700
8/22/2018,115.309998,115.410004,114.779999,114.970001,98.827812,8314700
8/23/2018,114.959999,115.150002,114.43,114.730003,98.621506,9265400
8/24/2018,114.980003,115.220001,114.449997,114.68,98.578537,8845700
8/27/2018,115.220001,117.279999,115.169998,116.709999,100.323509,13768000
8/28/2018,117,117.029999,115.970001,116.139999,99.833542,8302600
8/29/2018,116.349998,116.370003,115.360001,115.760002,99.506912,7221700
8/30/2018,115.589996,116.040001,114.980003,115.190002,99.016922,8991800
8/31/2018,114.830002,114.839996,113.82,114.580002,98.492592,13065700
9/4/2018,114.339996,115.239998,113.629997,115.150002,98.982536,10174200
9/5/2018,115,115.699997,114.25,114.589996,98.501167,11462400
9/6/2018,114.5,114.699997,113.5,114.099998,98.079956,9877600
9/7/2018,114.5,114.769997,113.629997,114.32,98.269073,10955600
9/10/2018,114.849998,114.970001,113.660004,113.709999,97.744705,8276900
9/11/2018,113.540001,114.580002,113.18,114.43,98.363617,9333800
9/12/2018,114.25,114.879997,112.849998,113.080002,97.203178,10800800
9/13/2018,113.370003,114.129997,112.669998,113.519997,97.58139,12470800
9/14/2018,113.809998,114.489998,113.230003,113.5,97.564201,10337900
9/17/2018,113.790001,114.43,113.300003,113.839996,97.856468,9561300
9/18/2018,114.330002,114.660004,113.559998,114.300003,98.251892,7944200
9/19/2018,114.440002,118.059998,114.440002,117.620003,101.105743,16052800
9/20/2018,118.5,119.239998,118.080002,118.629997,101.973923,15590000
9/21/2018,119.129997,119.230003,117.739998,117.849998,101.303467,24788200
9/24/2018,117.760002,118.459999,116.43,116.720001,100.3321,12492500
9/25/2018,117.040001,117.970001,116.32,116.389999,100.048424,9308300
9/26/2018,116.75,116.870003,114.660004,115.019997,98.870789,14023600
9/27/2018,115.419998,115.760002,114.160004,114.519997,98.441002,13283000
9/28/2018,113.650002,114.239998,112.519997,112.839996,96.996864,15815100
10/1/2018,113.370003,114.610001,113.040001,113.5,97.564201,10146300
10/2/2018,113.360001,114.120003,112.809998,113.970001,97.968224,13753100
10/3/2018,114.940002,115.660004,114.480003,115.040001,98.887985,17142000
10/4/2018,114.550003,116.809998,114.209999,115.269997,99.779564,16357400
10/5/2018,115.830002,116.099998,114.019997,114.620003,99.216911,13777600
10/8/2018,114.25,115.779999,113.349998,115.32,99.822838,14370900
10/9/2018,114.669998,115.029999,113.669998,114.519997,99.130363,14069500
10/10/2018,114.699997,114.949997,111.470001,111.470001,96.490211,23086400
10/11/2018,110.970001,111.470001,107.379997,108.129997,93.599075,33705600
10/12/2018,110.370003,110.830002,105.599998,106.949997,92.577629,32075700
10/15/2018,107.199997,108.849998,106.32,106.339996,92.049629,18903200
10/16/2018,107.160004,108.779999,106.730003,108.620003,94.023216,19302800
10/17/2018,108.379997,110.800003,108.230003,109.830002,95.07061,18794500
10/18/2018,109.019997,109.839996,107.809998,108.089996,93.564438,17582500
10/19/2018,107.650002,109.220001,107.269997,107.910004,93.408646,15234500
10/22/2018,108.150002,108.339996,106.110001,106.360001,92.066925,16199100
10/23/2018,104.199997,106.160004,103.699997,105.25,91.106117,21407500
10/24/2018,104.760002,105.029999,102.910004,103.290001,89.409477,23168900
10/25/2018,104.18,105.900002,103.720001,104.860001,90.768509,17464700
10/26/2018,104,104.559998,102.730003,103.419998,89.522018,19174900
10/29/2018,104.459999,106.629997,103.699997,104.849998,90.759834,18445200
10/30/2018,105.709999,106.980003,104.860001,106.699997,92.361221,18019700
10/31/2018,108.080002,110.480003,107.790001,109.019997,94.369469,20860000
11/1/2018,109.620003,110.220001,108.32,108.980003,94.334846,13065000
11/2/2018,109.900002,110.809998,107.489998,108.379997,93.815475,19009200
11/5/2018,108.610001,109.290001,108.419998,109.089996,94.430038,10276400
11/6/2018,108.669998,109.669998,107.760002,109.599998,94.871506,10825000
11/7/2018,110.370003,111.730003,109.349998,111.480003,96.498871,12679600
11/8/2018,111.010002,112.93,111,112.379997,97.277924,11662500
11/9/2018,112.230003,112.360001,110.830002,111.290001,96.334404,10432200
11/12/2018,111.419998,111.940002,108.599998,108.949997,94.308861,13279700
